KDT_No,Freq,condition,power,PB_No,gender
KDT1,A/T,B,0.980412546897497,1,m
KDT2,A/T,B,0.959387225736411,1,m
KDT3,A/T,B,0.895961374150427,1,m
KDT1,A/T,Y,0.797283184535353,1,m
KDT2,A/T,Y,0.800277664111893,1,m
KDT3,A/T,Y,0.936350510492203,1,m
KDT1,A/T,BKG,1.0176593622068,1,m
KDT2,A/T,BKG,1.00011954959419,1,m
KDT3,A/T,BKG,1.04259266315063,1,m
KDT1,A/T,B,1.1023728565914,1,f
KDT2,A/T,B,0.91953536407921,1,f
KDT3,A/T,B,0.752028450084827,1,f
KDT1,A/T,Y,1.24014846900207,1,f
KDT2,A/T,Y,0.979636604803625,1,f
KDT3,A/T,Y,0.96232248880298,1,f
KDT1,A/T,BKG,1.15274681084879,1,f
KDT2,A/T,BKG,0.96258028118008,1,f
KDT3,A/T,BKG,1.05141336298037,1,f
KDT1,A/T,B,0.842491671756466,1,m
KDT2,A/T,B,0.697382447447126,1,m
KDT3,A/T,B,0.626682198251626,1,m
KDT1,A/T,Y,1.02310043980061,1,m
KDT2,A/T,Y,0.767253419703922,1,m
KDT3,A/T,Y,0.807039485368741,1,m
KDT1,A/T,BKG,0.664489239002358,1,m
KDT2,A/T,BKG,0.671985843341901,1,m
KDT3,A/T,BKG,0.648282534112987,1,m
KDT1,A/T,B,0.534994374688224,1,f
KDT2,A/T,B,0.600807416280442,1,f
KDT3,A/T,B,0.533948492502324,1,f
KDT1,A/T,Y,0.457097148662462,1,f
KDT2,A/T,Y,0.497895403498253,1,f
KDT3,A/T,Y,0.49903456058913,1,f
KDT1,A/T,BKG,0.531910297860541,1,f
KDT2,A/T,BKG,0.525136684456895,1,f
KDT3,A/T,BKG,0.431350438354166,1,f
KDT1,A/T,B,3.04913954467333,1,m
KDT2,A/T,B,2.95046098577898,1,m
KDT3,A/T,B,3.16749568068612,1,m
KDT1,A/T,Y,3.05251645788858,1,m
KDT2,A/T,Y,3.53055176435729,1,m
KDT3,A/T,Y,4.05250146958416,1,m
KDT1,A/T,BKG,1.65131851766957,1,m
KDT2,A/T,BKG,2.21917505806864,1,m
KDT3,A/T,BKG,2.51120334856079,1,m
KDT1,A/T,B,1.66163292839254,1,f
KDT2,A/T,B,1.45188637940997,1,f
KDT3,A/T,B,1.44578234522813,1,f
KDT1,A/T,Y,1.4616163578279,1,f
KDT2,A/T,Y,1.59660280324518,1,f
KDT3,A/T,Y,1.47100081903799,1,f
KDT1,A/T,BKG,1.10997902139175,1,f
KDT2,A/T,BKG,1.10400072368046,1,f
KDT3,A/T,BKG,1.2861417352635,1,f
KDT1,A/T,B,1.48425512377674,1,f
KDT2,A/T,B,2.18814011252627,1,f
KDT3,A/T,B,1.9062982837639,1,f
KDT1,A/T,Y,1.76040716306886,1,f
KDT2,A/T,Y,2.00470234660782,1,f
KDT3,A/T,Y,1.57005589484118,1,f
KDT1,A/T,BKG,1.72347504758247,1,f
KDT2,A/T,BKG,1.67209671257037,1,f
KDT3,A/T,BKG,1.72499787904115,1,f
KDT1,A/T,B,1.42399226364015,1,m
KDT2,A/T,B,1.36624768593887,1,m
KDT3,A/T,B,1.38491335362861,1,m
KDT1,A/T,Y,1.47577575236154,1,m
KDT2,A/T,Y,1.27342576409141,1,m
KDT3,A/T,Y,1.37452395412759,1,m
KDT1,A/T,BKG,1.52806654663341,1,m
KDT2,A/T,BKG,1.38530420678134,1,m
KDT3,A/T,BKG,1.16680308131797,1,m
KDT1,A/T,B,0.629242826440177,1,m
KDT2,A/T,B,0.64137545385878,1,m
KDT3,A/T,B,0.528028279942697,1,m
KDT1,A/T,Y,0.530949204597276,1,m
KDT2,A/T,Y,0.571601258481196,1,m
KDT3,A/T,Y,0.527054033455419,1,m
KDT1,A/T,BKG,0.683994574207694,1,m
KDT2,A/T,BKG,0.649220828492458,1,m
KDT3,A/T,BKG,0.613601859555249,1,m
KDT1,A/T,B,0.936671205768718,1,f
KDT2,A/T,B,1.15534763067993,1,f
KDT3,A/T,B,0.973131491361196,1,f
KDT1,A/T,Y,1.10381466463444,1,f
KDT2,A/T,Y,1.07498707735081,1,f
KDT3,A/T,Y,1.01451887694725,1,f
KDT1,A/T,BKG,0.875197311438573,1,f
KDT2,A/T,BKG,1.09276197199894,1,f
KDT3,A/T,BKG,0.90544787979319,1,f
KDT1,A/T,B,1.20639335512021,1,m
KDT2,A/T,B,0.830619792010501,1,m
KDT3,A/T,B,0.995250426630345,1,m
KDT1,A/T,Y,0.766855702608342,1,m
KDT2,A/T,Y,0.575194168573116,1,m
KDT3,A/T,Y,0.80924482571955,1,m
KDT1,A/T,BKG,0.867187592027392,1,m
KDT2,A/T,BKG,0.932310587624622,1,m
KDT3,A/T,BKG,0.784549804683072,1,m
KDT1,A/T,B,0.785358854431334,1,f
KDT2,A/T,B,0.776828125866794,1,f
KDT3,A/T,B,0.836695620654142,1,f
KDT1,A/T,Y,0.828750367492146,1,f
KDT2,A/T,Y,0.889332279436749,1,f
KDT3,A/T,Y,0.902249887807756,1,f
KDT1,A/T,BKG,0.714354136698498,1,f
KDT2,A/T,BKG,0.864714937176649,1,f
KDT3,A/T,BKG,0.83327001480372,1,f
KDT1,A/T,B,1.63850662635386,1,f
KDT2,A/T,B,0.970844843558099,1,f
KDT3,A/T,B,1.17605355246349,1,f
KDT1,A/T,Y,1.9067719964036,1,f
KDT2,A/T,Y,1.52563157254563,1,f
KDT3,A/T,Y,1.57728518873877,1,f
KDT1,A/T,BKG,2.00827886762155,1,f
KDT2,A/T,BKG,1.72510095051186,1,f
KDT3,A/T,BKG,1.76766727130371,1,f
KDT1,A/T,B,1.10180950681142,1,f
KDT2,A/T,B,1.25131145411028,1,f
KDT3,A/T,B,1.1489396367398,1,f
KDT1,A/T,Y,1.01209276451886,1,f
KDT2,A/T,Y,1.09147343200501,1,f
KDT3,A/T,Y,0.992074962099806,1,f
KDT1,A/T,BKG,1.34873211000374,1,f
KDT2,A/T,BKG,1.06470305439421,1,f
